planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
no_kappa,static,harbor_cove,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7995495495495496,25.583712245119088,240,40,17,49,0,0.0026041666666666665,0.0026041666666666665,4.658333333333333
no_kappa,static,harbor_cove,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,5,5,111,111,1.0,3,0.5377252252252253,20.90533043424923,111,22,10,23,0,0.00563063063063063,0.00563063063063063,5.756756756756757
no_kappa,static,harbor_cove,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,18,18,,241,0.6666666666666666,2,0.8108108108108109,30.34381600038614,240,37,23,50,0,0.0026041666666666665,0.0026041666666666665,5.366666666666666
no_kappa,static,peninsula_passage,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,104,104,,241,0.3333333333333333,1,0.5405684754521963,25.660385714477993,240,38,14,49,0,0.0026041666666666665,0.0026041666666666665,3.2916666666666665
no_kappa,static,peninsula_passage,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,32,32,163,163,1.0,3,0.6372093023255814,25.139548484179556,163,28,14,33,0,0.003834355828220859,0.003834355828220859,3.98159509202454
no_kappa,static,peninsula_passage,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,57,57,193,193,1.0,3,0.7198966408268734,29.33230249927874,193,30,18,40,0,0.008419689119170985,0.008419689119170985,4.160621761658031
no_kappa,static,peninsula_passage,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,80,80,,241,0.6666666666666666,2,0.6516795865633075,32.08722800045507,240,40,16,50,0,0.0026041666666666665,0.0026041666666666665,3.3833333333333333
no_kappa,static,peninsula_passage,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,24,24,,241,0.6666666666666666,2,0.6217054263565891,41.85847291637401,240,40,21,48,0,0.0026041666666666665,0.0026041666666666665,3.4375
no_kappa,static,peninsula_passage,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,86,86,205,205,1.0,3,0.6780361757105943,28.52078536670888,205,32,15,41,0,0.003048780487804878,0.003048780487804878,3.5121951219512195
no_kappa,static,peninsula_passage,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,85,85,,241,0.6666666666666666,2,0.6842377260981912,28.306940815777384,240,40,16,49,0,0.0026041666666666665,0.0026041666666666665,3.1416666666666666
no_kappa,static,peninsula_passage,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,19,19,,241,0.6666666666666666,2,0.717312661498708,40.39987346899282,240,39,20,49,0,0.0026041666666666665,0.0026041666666666665,3.6375
no_kappa,static,peninsula_passage,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,43,43,214,214,1.0,3,0.6108527131782946,24.744736363242158,214,37,17,44,0,0.0029205607476635513,0.0029205607476635513,3.6728971962616823
no_kappa,static,peninsula_passage,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,35,35,,241,0.6666666666666666,2,0.6987080103359173,33.16074897928938,240,41,22,49,0,0.0026041666666666665,0.0026041666666666665,3.4125
