tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
131,0,"[40, 45]",25.0,0.0,18.076393127441406,0.0,0.16467148065567017,40,44,6.923606872558594,0.0,0.0,0.0,7125.430583953857,7125.430583953857,False,False
132,0,"[40, 45]",25.0,0.0,18.225719451904297,0.0,0.1646697074174881,40,44,6.774280548095703,0.0,0.0,0.0,7004.102945327759,7004.102945327759,False,False
133,0,"[40, 45]",25.0,0.0,18.375045776367188,0.0,0.1647465080022812,40,44,6.6249542236328125,0.0,0.0,0.0,6882.77530670166,6882.77530670166,False,False
134,0,"[40, 45]",25.0,0.0,18.524372100830078,0.0,0.16483519971370697,40,44,6.475627899169922,0.0,0.0,0.0,6761.4476680755615,6761.4476680755615,False,False
135,0,"[40, 45]",25.0,0.0,18.67369842529297,0.0,0.16493457555770874,40,44,6.326301574707031,0.0,0.0,0.0,6640.120029449463,6640.120029449463,False,False
136,0,"[40, 45]",25.0,0.0,18.82302474975586,0.0,0.16504356265068054,40,44,6.176975250244141,0.0,0.0,0.0,6518.792390823364,6518.792390823364,False,False
137,0,"[40, 45]",25.0,0.0,18.97235107421875,0.0,0.16516120731830597,40,44,6.02764892578125,0.0,0.0,0.0,6397.464752197266,6397.464752197266,False,False
138,0,"[40, 45]",25.0,0.0,19.12167739868164,0.0,0.16528664529323578,40,44,5.878322601318359,0.0,0.0,0.0,6276.137113571167,6276.137113571167,False,False
139,0,"[40, 45]",25.0,0.0,19.27100372314453,0.0,0.16536027193069458,40,44,5.728996276855469,0.0,0.0,0.0,6154.809474945068,6154.809474945068,False,False
140,0,"[40, 45]",25.0,0.0,19.420331954956055,0.0,0.1653285026550293,40,44,5.579668045043945,0.0,0.0,0.0,6033.480286598206,6033.480286598206,False,False
141,0,"[40, 45]",25.0,0.0,19.569660186767578,0.0,0.16520193219184875,40,44,5.430339813232422,0.0,0.0,0.0,5912.151098251343,5912.151098251343,False,False
142,0,"[40, 45]",25.0,0.0,19.71898651123047,0.0,0.16510768234729767,40,44,5.281013488769531,0.0,0.0,0.0,5790.823459625244,5790.823459625244,False,False
143,0,"[40, 45]",25.0,0.0,19.868314743041992,0.0,0.16504248976707458,40,44,5.131685256958008,0.0,0.0,0.0,5669.494271278381,5669.494271278381,False,False
144,0,"[40, 45]",25.0,0.0,20.017641067504883,0.0,0.1650034487247467,40,44,4.982358932495117,0.0,0.0,0.0,5548.166632652283,5548.166632652283,False,False
145,0,"[40, 45]",25.0,0.0,20.166969299316406,0.0,0.1649879366159439,40,44,4.833030700683594,0.0,0.0,0.0,5426.83744430542,5426.83744430542,False,False
146,0,"[40, 45]",25.0,0.0,20.316295623779297,0.0,0.16499356925487518,40,44,4.683704376220703,0.0,0.0,0.0,5305.509805679321,5305.509805679321,False,False
147,0,"[40, 45]",25.0,0.0,20.46562385559082,0.0,0.165018230676651,40,44,4.53437614440918,0.0,0.0,0.0,5184.1806173324585,5184.1806173324585,False,False
148,0,"[40, 45]",25.0,0.0,20.61495018005371,0.0,0.16506002843379974,40,44,4.385049819946289,0.0,0.0,0.0,5062.85297870636,5062.85297870636,False,False
149,0,"[40, 45]",25.0,0.0,20.7642765045166,0.0,0.16511721909046173,40,44,4.235723495483398,0.0,0.0,0.0,4941.525340080261,4941.525340080261,False,False
150,0,"[40, 45]",25.0,0.0,20.913602828979492,0.0,0.165188267827034,40,44,4.086397171020508,0.0,0.0,0.0,4820.197701454163,4820.197701454163,False,False
151,0,"[40, 45]",25.0,0.0,21.062929153442383,0.0,0.16527177393436432,40,44,3.937070846557617,0.0,0.0,0.0,4698.870062828064,4698.870062828064,False,False
152,0,"[40, 45]",25.0,0.0,21.212255477905273,0.0,0.1653076857328415,40,44,3.7877445220947266,0.0,0.0,0.0,4577.542424201965,4577.542424201965,False,False
153,0,"[40, 45]",25.0,0.0,21.361583709716797,0.0,0.16530080139636993,40,44,3.638416290283203,0.0,0.0,0.0,4456.2132358551025,4456.2132358551025,False,False
154,0,"[40, 45]",25.0,0.0,21.510910034179688,0.0,0.16525541245937347,40,44,3.4890899658203125,0.0,0.0,0.0,4334.885597229004,4334.885597229004,False,False
155,0,"[40, 45]",25.0,0.0,21.66023826599121,0.0,0.16517537832260132,40,44,3.339761734008789,0.0,0.0,0.0,4213.556408882141,4213.556408882141,False,False
156,0,"[40, 45]",25.0,0.0,21.809566497802734,0.0,0.16512298583984375,40,44,3.1904335021972656,0.0,0.0,0.0,4092.2272205352783,4092.2272205352783,False,False
157,0,"[40, 45]",25.0,0.0,21.958892822265625,0.0,0.1650954633951187,40,44,3.041107177734375,0.0,0.0,0.0,3970.8995819091797,3970.8995819091797,False,False
158,0,"[40, 45]",25.0,0.0,22.10822105407715,0.0,0.16509029269218445,40,44,2.8917789459228516,0.0,0.0,0.0,3849.570393562317,3849.570393562317,False,False
159,0,"[40, 45]",25.0,0.0,22.25754737854004,0.0,0.16510523855686188,40,44,2.742452621459961,0.0,0.0,0.0,3728.2427549362183,3728.2427549362183,False,False
160,0,"[40, 45]",25.0,0.0,22.40687370300293,0.0,0.16513828933238983,40,44,2.5931262969970703,0.0,0.0,0.0,3606.9151163101196,3606.9151163101196,False,False
161,0,"[40, 45]",25.0,0.0,22.55620002746582,0.0,0.16518762707710266,40,45,2.4437999725341797,0.0,0.0,0.0,3485.587477684021,3485.587477684021,True,False
162,1,"[45, 45]",25.0,-25.0,22.705528259277344,0.0,0.16525159776210785,40,45,25.105071212186886,0.0,275.24385118866905,-84.75614881133095,8000.0,-8000.0,False,False
163,1,"[45, 45]",25.0,-25.0,22.839855194091797,6.491417298093438e-05,0.16526992619037628,40,45,25.093215642785903,359.86991576850414,274.9384088135419,-84.93150695496223,8000.0,-8000.0,False,False
164,1,"[45, 45]",25.0,-25.0,22.960697174072266,0.00019324735330883414,0.16524718701839447,40,45,25.08322982434373,359.61299988627434,274.6633767401731,-84.94962314610126,8000.0,-8000.0,False,False
165,1,"[45, 45]",25.0,-25.0,23.069412231445312,0.0003836613614112139,0.16518740355968475,40,45,25.074815100960553,359.23242419958115,274.41574979672225,-84.8166744028589,8000.0,-8000.0,False,False
