tick_global,waypoint_index,target_x,target_y,gps_x,gps_y,gps_z,distance_to_target,arrived,timeout
4496,3,25.0,-25.0,13.720962524414062,-25.570938110351562,0.17002293467521667,11.2935,False,False
4497,3,25.0,-25.0,13.770821571350098,-25.56841468811035,0.1699923574924469,11.2436,False,False
4498,3,25.0,-25.0,13.820680618286133,-25.56589126586914,0.1699848771095276,11.1936,False,False
4499,3,25.0,-25.0,13.870539665222168,-25.56336784362793,0.1699981838464737,11.1437,False,False
4500,3,25.0,-25.0,13.920398712158203,-25.560842514038086,0.17003017663955688,11.0938,False,False
4501,3,25.0,-25.0,13.970257759094238,-25.558319091796875,0.17007897794246674,11.0439,False,False
4502,3,25.0,-25.0,14.020116806030273,-25.555795669555664,0.17014291882514954,10.9939,False,False
4503,3,25.0,-25.0,14.069975852966309,-25.553272247314453,0.1701616793870926,10.944,False,False
4504,3,25.0,-25.0,14.11983585357666,-25.550748825073242,0.17008095979690552,10.8941,False,False
4505,3,25.0,-25.0,14.169694900512695,-25.5482234954834,0.16996954381465912,10.8442,False,False
4506,3,25.0,-25.0,14.21955394744873,-25.545700073242188,0.16988928616046906,10.7942,False,False
4507,3,25.0,-25.0,14.269412994384766,-25.543176651000977,0.16983705759048462,10.7443,False,False
4508,3,25.0,-25.0,14.3192720413208,-25.540653228759766,0.16981007158756256,10.6944,False,False
4509,3,25.0,-25.0,14.369132041931152,-25.538127899169922,0.16980576515197754,10.6445,False,False
4510,3,25.0,-25.0,14.418991088867188,-25.53560447692871,0.1698218733072281,10.5946,False,False
4511,3,25.0,-25.0,14.468850135803223,-25.5330810546875,0.16985635459423065,10.5446,False,False
4512,3,25.0,-25.0,14.518709182739258,-25.53055763244629,0.1699073612689972,10.4947,False,False
4513,3,25.0,-25.0,14.568568229675293,-25.528034210205078,0.1699732393026352,10.4448,False,False
4514,3,25.0,-25.0,14.618427276611328,-25.525508880615234,0.17005248367786407,10.3949,False,False
4515,3,25.0,-25.0,14.668286323547363,-25.522985458374023,0.17014376819133759,10.3449,False,False
4516,3,25.0,-25.0,14.718146324157715,-25.520462036132812,0.17012828588485718,10.295,False,False
4517,3,25.0,-25.0,14.76800537109375,-25.5179386138916,0.17001672089099884,10.2451,False,False
4518,3,25.0,-25.0,14.817864418029785,-25.515413284301758,0.16993626952171326,10.1952,False,False
4519,3,25.0,-25.0,14.86772346496582,-25.512889862060547,0.1698838472366333,10.1452,False,False
4520,3,25.0,-25.0,14.917583465576172,-25.510366439819336,0.16985662281513214,10.0953,False,False
4521,3,25.0,-25.0,14.967442512512207,-25.507843017578125,0.16985207796096802,10.0454,False,False
4522,3,25.0,-25.0,15.017285346984863,-25.505319595336914,0.16986791789531708,9.9955,False,False
4523,3,25.0,-25.0,15.067087173461914,-25.502798080444336,0.16990213096141815,9.9456,False,False
4524,3,25.0,-25.0,15.116828918457031,-25.500280380249023,0.16995283961296082,9.8958,False,False
4525,3,25.0,-25.0,15.166491508483887,-25.497766494750977,0.17001838982105255,9.8461,False,False
4526,3,25.0,-25.0,15.216056823730469,-25.495258331298828,0.17009732127189636,9.7965,False,False
4527,3,25.0,-25.0,15.265510559082031,-25.492753982543945,0.1701294481754303,9.747,False,False
4528,3,25.0,-25.0,15.314840316772461,-25.490257263183594,0.17006069421768188,9.6976,False,False
4529,3,25.0,-25.0,15.364031791687012,-25.48776626586914,0.1699599325656891,9.6483,False,False
4530,3,25.0,-25.0,15.41307544708252,-25.48528480529785,0.1698891669511795,9.5992,False,False
4531,3,25.0,-25.0,15.46196174621582,-25.48280906677246,0.16984538733959198,9.5503,False,False
4532,3,25.0,-25.0,15.51068115234375,-25.480342864990234,0.16982589662075043,9.5015,False,False
4533,3,25.0,-25.0,15.559226989746094,-25.477886199951172,0.16982825100421906,9.4529,False,False
4534,3,25.0,-25.0,15.60759162902832,-25.475439071655273,0.16985026001930237,9.4044,False,False
4535,3,25.0,-25.0,15.655769348144531,-25.472999572753906,0.16988994181156158,9.3562,False,False
4536,3,25.0,-25.0,15.703754425048828,-25.470569610595703,0.16994555294513702,9.3081,False,False
4537,3,25.0,-25.0,15.751543045043945,-25.468151092529297,0.17001545429229736,9.2603,False,False
4538,3,25.0,-25.0,15.7991304397583,-25.465742111206055,0.1700982302427292,9.2126,False,False
4539,3,25.0,-25.0,15.846513748168945,-25.46334457397461,0.17007499933242798,9.1652,False,False
4540,3,25.0,-25.0,15.893689155578613,-25.460956573486328,0.1700151562690735,9.118,False,False
4541,3,25.0,-25.0,15.940652847290039,-25.45857810974121,0.16998116672039032,9.0709,False,False
