run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,30,3,6,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[39.619321092646175, 6.0, 0.0]","[31.0, 0.0, 0.5]",10.502032950726027,"[11.872340425531915, 6.0, 0.0]",27.746980667114258,0.0,1.555434782608692,6,0.0,1.555434782608692,True,23,17707.583531247885,1,1,36,"[26, 127, 265, 139]",[6],27.746980667114258,sv1,27.746980667114258,False,False,False,False,False
target,31,3,7,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.212765957446809, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,31,3,7,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.212765957446809, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,32,3,8,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.553191489361701, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,32,3,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.553191489361701, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,33,3,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.893617021276595, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,33,3,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[12.893617021276595, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,34,3,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[13.23404255319149, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,34,3,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[13.23404255319149, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,35,3,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[13.574468085106384, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,35,3,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[13.574468085106384, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,36,3,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[13.914893617021276, -6.0, 0.0]",,,,,,,False,0,,1,0,34,"[90, 127, 291, 185]",[],,,,False,False,False,False,False
target,36,3,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[41.108587399471126, 3.6208600746402335, 0.0]","[31.0, 0.0, 0.5]",10.737512137030164,"[13.914893617021276, 6.0, 0.0]",27.297569274902344,-5.0,-0.99375,7,-5.0,4.00625,True,23,17138.617631316127,1,1,18,"[161, 127, 240, 136]",[7],27.297569274902344,sv1,27.297569274902344,False,False,False,False,False
target,37,4,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.25531914893617, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,37,4,1,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.25531914893617, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[7],27.114599227905273,,,False,False,False,False,False
target,38,4,2,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.595744680851064, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,38,4,2,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.595744680851064, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[7],27.267473220825195,,,False,False,False,False,False
target,39,4,3,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.936170212765957, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,39,4,3,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[14.936170212765957, 6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,40,4,4,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[15.27659574468085, -6.0, 0.0]",,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
